property_id,url,source,market
vbe30690,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe30690,ImmoVlan,sale
vbe30696,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe30696,ImmoVlan,sale
vbe30798,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe30798,ImmoVlan,sale
vbe30816,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe30816,ImmoVlan,sale
vbe30876,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe30876,ImmoVlan,sale
vbe30700,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe30700,ImmoVlan,sale
vbe30702,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe30702,ImmoVlan,sale
vbe31075,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31075,ImmoVlan,sale
vbe31228,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31228,ImmoVlan,sale
vbe31229,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31229,ImmoVlan,sale
vbe31340,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31340,ImmoVlan,sale
vbe31568,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31568,ImmoVlan,sale
vbe31654,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31654,ImmoVlan,sale
vbe31738,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31738,ImmoVlan,sale
vbe31760,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31760,ImmoVlan,sale
vbe31928,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31928,ImmoVlan,sale
vbe31929,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe31929,ImmoVlan,sale
vbe32034,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32034,ImmoVlan,sale
vbe32035,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32035,ImmoVlan,sale
vbe32106,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32106,ImmoVlan,sale
vbe32293,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32293,ImmoVlan,sale
vbe32294,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32294,ImmoVlan,sale
vbe32295,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32295,ImmoVlan,sale
vbe32411,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32411,ImmoVlan,sale
vbe32432,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32432,ImmoVlan,sale
vbe32593,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32593,ImmoVlan,sale
vbe32990,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe32990,ImmoVlan,sale
vbe33373,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe33373,ImmoVlan,sale
vbe33613,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe33613,ImmoVlan,sale
vbe33866,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe33866,ImmoVlan,sale
vbe33857,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe33857,ImmoVlan,sale
vbe33867,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe33867,ImmoVlan,sale
vbe33868,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe33868,ImmoVlan,sale
vbe33869,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe33869,ImmoVlan,sale
vbe33925,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe33925,ImmoVlan,sale
vbe34281,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe34281,ImmoVlan,sale
vbe34245,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe34245,ImmoVlan,sale
vbe34298,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe34298,ImmoVlan,sale
vbe34320,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe34320,ImmoVlan,sale
vbe34535,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe34535,ImmoVlan,sale
vbe34540,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe34540,ImmoVlan,sale
vbe34567,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe34567,ImmoVlan,sale
vbe34632,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe34632,ImmoVlan,sale
vwd17818,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vwd17818,ImmoVlan,sale
rbw16916,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbw16916,ImmoVlan,sale
vbc54337,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc54337,ImmoVlan,sale
vbd51193,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd51193,ImmoVlan,sale
vbd91411,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd91411,ImmoVlan,sale
vbd76077,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd76077,ImmoVlan,sale
vbe28985,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe28985,ImmoVlan,sale
vbe20735,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe20735,ImmoVlan,sale
vbe29033,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe29033,ImmoVlan,sale
vbe29378,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe29378,ImmoVlan,sale
vbe29381,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe29381,ImmoVlan,sale
vbe29780,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe29780,ImmoVlan,sale
vbe30312,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe30312,ImmoVlan,sale
vbe31004,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe31004,ImmoVlan,sale
vbe31005,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe31005,ImmoVlan,sale
vbe31069,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe31069,ImmoVlan,sale
vbe31006,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe31006,ImmoVlan,sale
vbe31393,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe31393,ImmoVlan,sale
vbe31557,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe31557,ImmoVlan,sale
vbe32037,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe32037,ImmoVlan,sale
vbe32707,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe32707,ImmoVlan,sale
vbe33090,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe33090,ImmoVlan,sale
vbe33091,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe33091,ImmoVlan,sale
vbe33506,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe33506,ImmoVlan,sale
vbe33748,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe33748,ImmoVlan,sale
vbe33172,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe33172,ImmoVlan,sale
vbe33922,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe33922,ImmoVlan,sale
vbe34042,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe34042,ImmoVlan,sale
rbu21531,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbu21531,ImmoVlan,sale
rbv48910,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbv48910,ImmoVlan,sale
rbv93766,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbv93766,ImmoVlan,sale
rbw10943,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbw10943,ImmoVlan,sale
rbw01563,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbw01563,ImmoVlan,sale
rbw10944,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbw10944,ImmoVlan,sale
rbw12367,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbw12367,ImmoVlan,sale
rbw12763,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbw12763,ImmoVlan,sale
rbw12698,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbw12698,ImmoVlan,sale
vbd38128,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd38128,ImmoVlan,sale
vbc47615,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbc47615,ImmoVlan,sale
vbd91245,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd91245,ImmoVlan,sale
vbe03503,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe03503,ImmoVlan,sale
vbe10202,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe10202,ImmoVlan,sale
vbe00590,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe00590,ImmoVlan,sale
vbe11647,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe11647,ImmoVlan,sale
vbe16026,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe16026,ImmoVlan,sale
vbe16029,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe16029,ImmoVlan,sale
vbe18821,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe18821,ImmoVlan,sale
vbe16028,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe16028,ImmoVlan,sale
vbe23740,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe23740,ImmoVlan,sale
vbe24818,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe24818,ImmoVlan,sale
vbe24817,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe24817,ImmoVlan,sale
vbe27011,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe27011,ImmoVlan,sale
vbe27351,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe27351,ImmoVlan,sale
vbe27352,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe27352,ImmoVlan,sale
vbe27533,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe27533,ImmoVlan,sale
vbe27728,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe27728,ImmoVlan,sale
vbe27926,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe27926,ImmoVlan,sale
vbe27928,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe27928,ImmoVlan,sale
vbe28931,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe28931,ImmoVlan,sale
vbe29175,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe29175,ImmoVlan,sale
vbe29261,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe29261,ImmoVlan,sale
vbe29901,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe29901,ImmoVlan,sale
vbe29267,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe29267,ImmoVlan,sale
vbe30113,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe30113,ImmoVlan,sale
vbe30496,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe30496,ImmoVlan,sale
vbe30698,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe30698,ImmoVlan,sale
vbe30497,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe30497,ImmoVlan,sale
vbe30992,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe30992,ImmoVlan,sale
vbe30997,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe30997,ImmoVlan,sale
vbe31220,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe31220,ImmoVlan,sale
vbe31222,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe31222,ImmoVlan,sale
vbe31416,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe31416,ImmoVlan,sale
vbe31424,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe31424,ImmoVlan,sale
vbe31425,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe31425,ImmoVlan,sale
vbe31427,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe31427,ImmoVlan,sale
vbe31426,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe31426,ImmoVlan,sale
vbe31428,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe31428,ImmoVlan,sale
vbe32128,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe32128,ImmoVlan,sale
vbe31845,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe31845,ImmoVlan,sale
vbe32129,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe32129,ImmoVlan,sale
vbe32130,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe32130,ImmoVlan,sale
vbe32148,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe32148,ImmoVlan,sale
vbe32764,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe32764,ImmoVlan,sale
vbe32790,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe32790,ImmoVlan,sale
vbe32832,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe32832,ImmoVlan,sale
vbe32833,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe32833,ImmoVlan,sale
vbe33013,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe33013,ImmoVlan,sale
vbe33951,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe33951,ImmoVlan,sale
vbe34000,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34000,ImmoVlan,sale
vbe34547,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34547,ImmoVlan,sale
vbe34587,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34587,ImmoVlan,sale
vbe34631,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34631,ImmoVlan,sale
vbe34764,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34764,ImmoVlan,sale
vbe34768,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34768,ImmoVlan,sale
vbe34816,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34816,ImmoVlan,sale
vbe34817,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34817,ImmoVlan,sale
vbe34818,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34818,ImmoVlan,sale
vwd17761,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vwd17761,ImmoVlan,sale
rbv56532,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/rbv56532,ImmoVlan,sale
rbv87144,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/rbv87144,ImmoVlan,sale
rbw10942,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/rbw10942,ImmoVlan,sale
rbw10945,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/rbw10945,ImmoVlan,sale
rbw19073,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/rbw19073,ImmoVlan,sale
vbc88630,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbc88630,ImmoVlan,sale
vbd41400,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd41400,ImmoVlan,sale
vbd85335,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85335,ImmoVlan,sale
vbd85339,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85339,ImmoVlan,sale
vbd85341,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85341,ImmoVlan,sale
vbd85343,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85343,ImmoVlan,sale
vbd85347,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85347,ImmoVlan,sale
vbd85348,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85348,ImmoVlan,sale
vbd85351,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85351,ImmoVlan,sale
vbd85355,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85355,ImmoVlan,sale
vbd85363,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85363,ImmoVlan,sale
vbd94312,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd94312,ImmoVlan,sale
vbd98004,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd98004,ImmoVlan,sale
vbd98477,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd98477,ImmoVlan,sale
vbd98479,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd98479,ImmoVlan,sale
vbe12451,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbe12451,ImmoVlan,sale
vbe14120,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbe14120,ImmoVlan,sale
vbe21324,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbe21324,ImmoVlan,sale
vbe24327,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbe24327,ImmoVlan,sale
vbe26278,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbe26278,ImmoVlan,sale
vbe28269,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbe28269,ImmoVlan,sale
