livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
,2.0,1.0,2.0,2002.0,,2.0,241.0,,50.8534726,3.3543896,,flat,West Flanders,Flanders,C,,,Gas,0,0,1,0,0,1,0,0,0,0,1100.0,10.7
,2.0,1.0,1.0,1995.0,,,289.0,804.0,51.106238,3.8284216,,house,East Flanders,Flanders,C,,,Fuel oil,0,0,1,0,0,0,0,0,0,1,1300.0,35.7
75.0,1.0,1.0,,,,,,,49.9219619,5.3821155,,flat,Luxembourg,Wallonia,B,,,,0,0,0,0,0,0,0,0,0,0,750.0,19.3
285.0,6.0,3.0,3.0,1962.0,4.0,2.0,151.0,450.0,50.837533,4.4766749,8.96,villa,Flemish Brabant,Flanders,B,Excellent,Super equipped,Gas,0,0,1,1,0,0,1,0,0,1,3350.0,60.6
98.0,2.0,2.0,,,,,,,50.8062645,4.338448,,penthouse,Brussels,Brussels,A,,,,0,0,0,0,0,0,0,0,0,0,1750.0,75.6
,1.0,1.0,1.0,2006.0,,4.0,,,50.8390983,4.3296526,,flat,Brussels,Brussels,,B,Super equipped,Electricity,0,0,1,0,0,1,0,0,0,1,1050.0,69.1
28.0,,,,,,,,,50.8321684,4.3527548,,flatStudio,Brussels,Brussels,D,,,,0,0,0,0,0,0,0,0,0,0,1075.0,91.6
,,,,,,,,,50.8540484,4.3567878,0.95,flat,Brussels,Brussels,,,,,0,0,0,0,0,0,0,0,0,0,730.0,79.4
200.0,3.0,1.0,2.0,,4.0,,175.0,975.0,50.5711239,5.616363199999999,,villa,Liège,Wallonie,C,B,Fully equipped,Fuel oil,0,0,1,1,0,0,1,0,0,1,1600.0,24.3
,,,,,,,,,50.8275393,4.3526173,2.14,flat,Brussels,Brussels,,,,,0,1,1,0,0,0,0,0,0,0,2400.0,85.6
79.0,1.0,1.0,1.0,,2.0,3.0,336.0,,50.8,4.3333333,5.32,flat,Brussels,Brussels,F,Excellent,Fully equipped,Gas,0,0,0,0,0,0,0,0,0,0,850.0,69.9
70.0,1.0,1.0,1.0,,2.0,,,,50.8473846,4.4069351,,groundFloor,Brussels,Brussels,C,,Fully equipped,Gas,0,0,1,1,0,0,1,0,0,0,1200.0,60.5
