livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
108.0,2.0,4.0,,,,,,,50.85229,4.4418,,flat,Brussels,Brussels,B,,,,0,0,0,0,0,0,0,0,0,0,547000.0,90.1
188.0,3.0,2.0,,,,,,,51.2007263,4.4138801,,flat,Antwerp,Flanders,B,,,,0,0,0,0,0,0,0,0,0,0,615000.0,77.3
163.0,3.0,1.0,2.0,1973.0,4.0,1.0,185.0,2084.0,50.5286867,5.5514885,,villa,Liège,Wallonie,C,B,Fully equipped,Fuel oil,0,0,1,0,0,0,1,0,0,1,430000.0,18.9
150.0,4.0,1.0,1.0,,4.0,4.0,743.0,1640.0,50.8973812,3.8261092,15.49,house,East Flanders,Flanders,F,,,Gas,0,0,0,0,0,0,0,0,0,1,275000.0,33.6
100.0,2.0,1.0,1.0,2016.0,,4.0,90.0,,50.9858394,3.5252106,,flat,East Flanders,Flanders,A,B,Fully equipped,Gas,0,0,1,0,0,1,0,0,0,0,420000.0,81.4
80.0,1.0,1.0,1.0,2025.0,2.0,3.0,89.0,,50.7318503,3.2053712,1.36,flat,Hainaut,Wallonia,B,New,,Gas,1,0,1,0,0,1,0,0,0,0,177000.0,31.6
200.0,3.0,,,,,,,,50.55714835,4.62640285,,house,Namur,Wallonia,G,,,,0,0,0,0,0,0,0,0,0,0,230000.0,45.1
160.0,1.0,1.0,,,4.0,,404.0,1302.0,49.778785,5.2393348,66.84,house,Luxembourg,Wallonia,E,Normal,Fully equipped,Fuel oil,0,0,1,1,0,0,1,0,0,1,278000.0,12.2
100.0,3.0,2.0,2.0,,2.0,,,163.0,50.4373423,3.9473964,1.98,house,Hainaut,Wallonia,,,,,1,0,1,1,0,0,0,0,0,0,195000.0,20.5
269.0,5.0,2.0,3.0,1979.0,3.0,,133.0,851.0,51.25653,4.095265,10.7,house,East Flanders,Flanders,B,Normal,,Gas,0,0,0,0,0,0,0,0,0,1,549000.0,24.9
207.0,4.0,1.0,1.0,,4.0,,,102.0,51.1687075,3.3397713,,house,West Flanders,Flanders,F,,,,0,0,0,0,0,0,0,0,0,0,185000.0,58.0
175.0,3.0,1.0,2.0,2025.0,4.0,,,490.0,51.1202347,2.9223328,11.63,house,West Flanders,Flanders,,,,,1,0,0,0,0,0,0,0,0,0,530000.0,38.7
285.0,4.0,1.0,,,,,,,50.98928,5.377814,,house,Limburg,Flanders,C,,,,0,0,0,0,0,0,0,0,0,0,469000.0,33.9
124.0,2.0,1.0,,,,,,,51.2064992,3.2292466,,penthouse,West Flanders,Flanders,D,,,,0,0,0,0,0,0,0,0,0,0,398000.0,65.9
60.0,1.0,,,2027.0,2.0,,,,50.5534332,4.7024756,15.33,flat,Namur,Wallonia,,New,,,1,0,1,0,0,0,0,0,0,0,240000.0,64.4
112.0,3.0,1.0,,2025.0,3.0,3.0,,,50.903157,4.0504766,4.25,flat,East Flanders,Flanders,,New,Fully equipped,Hot air,1,0,1,0,0,1,0,0,1,1,335000.0,60.4
127.0,3.0,1.0,,,,,,,51.0115155,5.718363,,house,Limburg,Flanders,F,,,,0,0,0,0,0,0,0,0,0,0,199000.0,42.7
65.0,1.0,1.0,,,,,,,50.63611,5.5688777,,flat,Liège,Wallonia,B,,,,0,0,0,0,0,0,0,0,0,0,144000.0,61.6
154.0,3.0,2.0,2.0,1964.0,2.0,6.0,124.0,,50.7974716,4.3940608,6.29,flat,Brussels,Brussels,C,Normal,Super equipped,Gas,0,0,1,0,0,1,1,0,0,1,550000.0,80.6
95.0,2.0,1.0,,,,,,,50.86315516,4.30907547,,flat,Brussels,Brussels,C,,,,0,0,0,0,0,0,0,0,0,0,260000.0,48.8
42.0,1.0,1.0,,,,,,,50.7126348,4.5333693,,flat,Walloon Brabant,Wallonia,D,,,,0,0,0,0,0,0,0,0,0,0,210000.0,61.9
118.0,2.0,,,2020.0,,,,,50.7449736,4.2437641,13.55,flat,Flemish Brabant,Flanders,,New,,,1,0,1,0,0,0,0,0,0,0,345500.0,46.2
116.0,1.0,1.0,2.0,2020.0,2.0,3.0,108.0,,50.8472115,4.4029382,3.72,flat,Brussels,Brussels,C,New,Super equipped,,1,0,0,0,0,1,1,0,0,1,565000.0,80.2
184.0,5.0,2.0,2.0,2025.0,,,,220.0,50.8573612,3.8957607,,house,East Flanders,Flanders,,A,,,0,0,1,1,0,0,0,0,1,1,459600.0,20.2
105.0,2.0,1.0,1.0,2024.0,2.0,3.0,,,50.85128,2.88419,19.83,flat,West Flanders,Flanders,,New,,,1,0,1,0,0,1,0,0,0,0,378000.0,71.5
133.0,2.0,1.0,1.0,1967.0,3.0,,596.0,372.0,51.1649343,3.0181992,9.76,bungalow,West Flanders,Flanders,F,To be renovated,,,0,0,0,0,0,0,0,0,0,0,249800.0,37.0
190.0,3.0,1.0,,,,,,,50.7266687,3.5473105,,villa,Hainaut,Wallonia,A,,,,0,0,0,0,0,0,0,0,0,0,549000.0,22.6
66.0,0.0,,3.0,,2.0,,703.0,,51.0218767,4.4764275,,,Antwerp,Flanders,F,B,Not equipped,Electricity,0,0,0,0,0,0,0,0,0,0,309000.0,78.0
